ID	LINK
SLES_820.13	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-82013_086273D2.pnach
SLES_820.13	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-82013_98D4BC93.pnach
SLES_820.24	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-82024_79ED26AD.pnach
SLKA_150.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15001_2829E9E9.pnach
SLKA_150.06	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15006_741A5EA2.pnach
SLKA_150.09	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15009_B8605ABB.pnach
SLKA_150.15	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15015_23D96D2B.pnach
SLKA_150.28	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15028_BC808780.pnach
SLKA_150.30	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15030_9AD6381D.pnach
SLKA_150.32	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15032_01093275.pnach
SLKA_150.35	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15035_8AA8BEA6.pnach
SLKA_150.41	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15041_A745BF1E.pnach
SLKA_150.42	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15042_BC0F422C.pnach
SLKA_150.45	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15045_5204B254.pnach
SLKA_150.54	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15054_F02B30E6.pnach
SLKA_150.58	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15058_B5DB999E.pnach
SLKA_150.59	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-15059_5980BD69.pnach
SLKA_200.70	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-20070_2799A4E5.pnach
SLKA_250.03	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25003_70BFFBBB.pnach
SLKA_250.07	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25007_9872000C.pnach
SLKA_250.10	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25010_04DD88DB.pnach
SLKA_250.10	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25010_F9507A7C.pnach
SLKA_250.11	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25011_637125B6.pnach
SLKA_250.20	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25020_C01FD223.pnach
SLKA_250.27	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25027_9C5D24FF.pnach
SLKA_250.28	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25028_37FA69D8.pnach
SLKA_250.31	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25031_9AB05FF8.pnach
SLKA_250.32	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25032_E5BE5D27.pnach
SLKA_250.33	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25033_DB0707F3.pnach
SLKA_250.34	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25034_006C35A7.pnach
SLKA_250.35	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25035_3F192139.pnach
SLKA_250.38	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25038_A8D433AD.pnach
SLKA_250.42	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25042_48397D33.pnach
SLKA_250.44	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25044_7CE9B195.pnach
SLKA_250.47	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25047_1B4EBBA4.pnach
